index,date,open,high,low,close,volume,marketcap
1,"Nov 15, 2021",65521.29,66281.57,63548.14,63557.87,30558763548.0,1199611097094.0
2,"Nov 14, 2021",64455.37,65495.18,63647.81,65466.84,25122092191.0,1235578996842.0
3,"Nov 13, 2021",64158.12,64915.67,63303.73,64469.53,30474228777.0,1216695126358.0
4,"Nov 12, 2021",64863.98,65460.81,62333.91,64155.94,36084893887.0,1210715199478.0
5,"Nov 11, 2021",64978.89,65579.01,64180.49,64949.96,35880633236.0,1225643127560.0
6,"Nov 10, 2021",66953.34,68789.63,63208.11,64995.23,48730828378.0,1226431510693.0
7,"Nov 09, 2021",67549.74,68530.34,66382.06,66971.83,42357991721.0,1263667113597.0
8,"Nov 08, 2021",63344.07,67673.74,63344.07,67566.83,41125608330.0,1274831490851.0
9,"Nov 07, 2021",61554.92,63326.99,61432.49,63326.99,24726754302.0,1194778776481.0
10,"Nov 06, 2021",61068.87,61590.68,60163.78,61527.48,29094934221.0,1160769349887.0
11,"Nov 05, 2021",61460.08,62541.47,60844.61,61125.67,30605102446.0,1153128571128.0
12,"Nov 04, 2021",62941.8,63123.29,60799.66,61452.23,32615846901.0,1159231375022.0
13,"Nov 03, 2021",63254.33,63516.94,61184.24,62970.05,36124731509.0,1187808286560.0
14,"Nov 02, 2021",60963.25,64242.79,60673.06,63226.4,37746665647.0,1192577136210.0
15,"Nov 01, 2021",61320.45,62419.0,59695.18,61004.41,36150572843.0,1150606762880.0
16,"Oct 31, 2021",61850.49,62406.17,60074.33,61318.96,32241199927.0,1156485845063.0
17,"Oct 30, 2021",62239.36,62330.15,60918.39,61888.83,32157938616.0,1167178054167.0
18,"Oct 29, 2021",60624.87,62927.61,60329.97,62227.96,36856881767.0,1173512442368.0
19,"Oct 28, 2021",58470.73,62128.63,58206.92,60622.14,45257083247.0,1143165999365.0
20,"Oct 27, 2021",60352.0,61435.18,58208.19,58482.39,43657076893.0,1102757767323.0
21,"Oct 26, 2021",63032.76,63229.03,59991.16,60363.79,34878965587.0,1138177770430.0
22,"Oct 25, 2021",60893.93,63729.33,60691.8,63039.83,31064911614.0,1188575312422.0
23,"Oct 24, 2021",61368.34,61505.8,59643.35,60930.84,27316183882.0,1148743134468.0
